Year,Month,Underground Line,Temperature
2022,May,Jubilee,22.4
2022,May,Northern,24.61
2022,May,Piccadilly,24.18
2022,May,Victoria,27.84
2022,May,Waterloo_and_City,20.69
2022,May,Sub-surface_lines,21.06
2022,June,Bakerloo,27.36
2022,June,Central,28.28
2022,June,Jubilee,24.1
2022,June,Northern,26.17
2022,June,Piccadilly,25.65
2022,June,Victoria,29.04
2022,June,Waterloo_and_City,21.84
2022,June,Sub-surface_lines,23.42
2022,July,Bakerloo,29.44
2022,July,Central,30.26
2022,July,Jubilee,26.3
2022,July,Northern,28.39
2022,July,Piccadilly,27.67
2022,July,Victoria,30.82
2022,July,Waterloo_and_City,23.99
2022,July,Sub-surface_lines,26.76
2022,August,Bakerloo,30.4
2022,August,Central,31.32
2022,August,Jubilee,26.86
2022,August,Northern,29.15
2022,August,Piccadilly,28.39
2022,August,Victoria,31.18
2022,August,Waterloo_and_City,24.96
2022,August,Sub-surface_lines,27.39
2022,September,Bakerloo,29.21
2022,September,Central,29.62
2022,September,Jubilee,24.97
2022,September,Northern,28.14
2022,September,Piccadilly,26.93
2022,September,Victoria,30.84
2022,September,Waterloo_and_City,23.43
2022,September,Sub-surface_lines,23.32
2022,October,Bakerloo,27.58
2022,October,Central,27.97
2022,October,Jubilee,23.38
2022,October,Northern,26.93
2022,October,Piccadilly,25.33
2022,October,Victoria,29.89
2022,October,Waterloo_and_City,22.21
2022,October,Sub-surface_lines,21.14
2022,November,Bakerloo,26.02
2022,November,Central,25.82
2022,November,Jubilee,21.27
2022,November,Northern,25.31
2022,November,Piccadilly,23.43
2022,November,Victoria,27.32
2022,November,Waterloo_and_City,20.27
2022,November,Sub-surface_lines,17.5
2022,December,Bakerloo,23.35
2022,December,Central,22.82
2022,December,Jubilee,17.34
2022,December,Northern,22.73
2022,December,Piccadilly,20.59
2022,December,Victoria,25.8
2022,December,Waterloo_and_City,15.97
2022,December,Sub-surface_lines,12.21
2023,January,Bakerloo,22.88
2023,January,Central,23.36
2023,January,Jubilee,18.59
2023,January,Northern,22.72
2023,January,Piccadilly,20.5
2023,January,Victoria,26
2023,January,Waterloo_and_City,17.34
2023,January,Sub-surface_lines,13.45
2023,February,Bakerloo,22.98
2023,February,Central,23.39
2023,February,Jubilee,19.05
2023,February,Northern,22.71
2023,February,Piccadilly,20.59
2023,February,Victoria,25.92
2023,February,Waterloo_and_City,17.68
2023,February,Sub-surface_lines,14.74
2023,March,Bakerloo,23.11
2023,March,Central,23.12
2023,March,Jubilee,18.61
2023,March,Northern,22.36
2023,March,Piccadilly,20.56
2023,March,Victoria,25.38
2023,March,Waterloo_and_City,17.71
2023,March,Sub-surface_lines,14.68
2023,April,Bakerloo,24.09
2023,April,Central,24.46
2023,April,Jubilee,20.35
2023,April,Northern,23.71
2023,April,Piccadilly,21.91
2023,April,Victoria,26.48
2023,April,Waterloo_and_City,18.69
2023,April,Sub-surface_lines,16.84
2023,May,Bakerloo,25.73
2023,May,Central,26.65
2023,May,Jubilee,21.87
2023,May,Northern,25.18
2023,May,Piccadilly,23.86
2023,May,Victoria,28.22
2023,May,Waterloo_and_City,20.42
2023,May,Sub-surface_lines,20.41
2023,June,Bakerloo,28.03
2023,June,Central,29.67
2023,June,Jubilee,24.73
2023,June,Northern,27.46
2023,June,Piccadilly,26.38
2023,June,Victoria,30.33
2023,June,Waterloo_and_City,22.94
2023,June,Sub-surface_lines,25.23
2023,July,Bakerloo,28.65
2023,July,Central,29.99
2023,July,Jubilee,25.18
2023,July,Northern,28
2023,July,Piccadilly,27
2023,July,Victoria,30.59
2023,July,Waterloo_and_City,23.48
2023,July,Sub-surface_lines,24.36
2023,August,Bakerloo,28.85
2023,August,Central,30.18
2023,August,Jubilee,25.42
2023,August,Northern,28.39
2023,August,Piccadilly,27.09
2023,August,Victoria,30.61
2023,August,Waterloo_and_City,23.74
2023,August,Sub-surface_lines,24.75
2023,September,Bakerloo,29.65
2023,September,Central,30.89
2023,September,Jubilee,25.82
2023,September,Northern,28.8
2023,September,Piccadilly,27.39
2023,September,Victoria,31.25
2023,September,Waterloo_and_City,24.13
2023,September,Sub-surface_lines,25.42
2023,October,Bakerloo,28.07
2023,October,Central,29.06
2023,October,Jubilee,23.81
2023,October,Northern,27.16
2023,October,Piccadilly,25.74
2023,October,Victoria,30.28
2023,October,Waterloo_and_City,22.25
2023,October,Sub-surface_lines,21.01
2023,November,Bakerloo,25.61
2023,November,Central,26.1
2023,November,Jubilee,20.49
2023,November,Northern,24.69
2023,November,Piccadilly,22.99
2023,November,Victoria,27.82
2023,November,Waterloo_and_City,19.59
2023,November,Sub-surface_lines,16.12
2023,December,Bakerloo,24.06
2023,December,Central,24.5
2023,December,Jubilee,18.52
2023,December,Northern,23.37
2023,December,Piccadilly,21.61
2023,December,Victoria,26.35
2023,December,Waterloo_and_City,18.26
2023,December,Sub-surface_lines,14.78
2024,January,Bakerloo,22.9
2024,January,Central,23.3
2024,January,Jubilee,17.4
2024,January,Northern,22.4
2024,January,Piccadilly,20.5
2024,January,Victoria,25.7
2024,January,Waterloo_and_City,17.1
2024,January,Sub-surface_lines,13.1
2024,February,Bakerloo,24
2024,February,Central,24.4
2024,February,Jubilee,19.6
2024,February,Northern,23.2
2024,February,Piccadilly,21.2
2024,February,Victoria,26.6
2024,February,Waterloo_and_City,18.4
2024,February,Sub-surface_lines,15.4
2024,March,Bakerloo,24.2
2024,March,Central,24.7
2024,March,Jubilee,20.7
2024,March,Northern,23.3
2024,March,Piccadilly,21.5
2024,March,Victoria,26.2
2024,March,Waterloo_and_City,18.5
2024,March,Sub-surface_lines,15.7
2024,April,Bakerloo,24.7
2024,April,Central,25.3
2024,April,Jubilee,21.2
2024,April,Northern,23.9
2024,April,Piccadilly,22.5
2024,April,Victoria,27.1
2024,April,Waterloo_and_City,19.4
2024,April,Sub-surface_lines,17.4
2024,May,Bakerloo,26.6
2024,May,Central,27.5
2024,May,Jubilee,22.9
2024,May,Northern,25.4
2024,May,Piccadilly,24.3
2024,May,Victoria,28.5
2024,May,Waterloo_and_City,21.1
2024,May,Sub-surface_lines,21
2024,June,Bakerloo,27.9
2024,June,Central,28.8
2024,June,Jubilee,24.2
2024,June,Northern,26.8
2024,June,Piccadilly,25.6
2024,June,Victoria,29.6
2024,June,Waterloo_and_City,22.2
2024,June,Sub-surface_lines,22.9
2024,July,Bakerloo,29
2024,July,Central,29.8
2024,July,Jubilee,25.3
2024,July,Northern,27.9
2024,July,Piccadilly,26.7
2024,July,Victoria,30.7
2024,July,Waterloo_and_City,23.4
2024,July,Sub-surface_lines,24.6
2024,August,Bakerloo,29.9
2024,August,Central,30.6
2024,August,Jubilee,26.2
2024,August,Northern,28.8
2024,August,Piccadilly,27.4
2024,August,Victoria,31.1
2024,August,Waterloo_and_City,24.1
2024,August,Sub-surface_lines,25.7
2024,September,Bakerloo,29
2024,September,Central,29.1
2024,September,Jubilee,24.9
2024,September,Northern,27.9
2024,September,Piccadilly,26
2024,September,Victoria,30.2
2024,September,Waterloo_and_City,23.8
2024,September,Sub-surface_lines,23.4
2024,October,Bakerloo,27.5
2024,October,Central,27.5
2024,October,Jubilee,22.8
2024,October,Northern,26.5
2024,October,Piccadilly,24.5
2024,October,Victoria,29.1
2024,October,Waterloo_and_City,21.5
2024,October,Sub-surface_lines,19.7
2024,November,Bakerloo,26.2
2024,November,Central,26.1
2024,November,Jubilee,20.2
2024,November,Northern,24.8
2024,November,Piccadilly,22.5
2024,November,Victoria,27.1
2024,November,Waterloo_and_City,19.3
2024,November,Sub-surface_lines,16.1
2024,December,Bakerloo,25.2
2024,December,Central,24.7
2024,December,Jubilee,19.1
2024,December,Northern,23.2
2024,December,Piccadilly,20.5
2024,December,Victoria,26
2024,December,Waterloo_and_City,17.9
2024,December,Sub-surface_lines,14.7
