Year,Month,Underground Line,Temperature
2014,November,Victoria,23.1
2014,November,Waterloo_and_City,21.7
2014,November,Sub-surface_lines,17.2
2014,December,Bakerloo,24.5
2014,December,Central,23.3
2014,December,Jubilee,18.5
2014,December,Northern,22
2014,December,Piccadilly,21.1
2014,December,Victoria,20.9
2014,December,Waterloo_and_City,19.8
2014,December,Sub-surface_lines,13.9
2015,January,Bakerloo,23.48
2015,January,Central,22.03
2015,January,Jubilee,19.05
2015,January,Northern,21.55
2015,January,Piccadilly,19.98
2015,January,Victoria,19.69
2015,January,Waterloo_and_City,18.9
2015,January,Sub-surface_lines,12.9
2015,February,Bakerloo,22.75
2015,February,Central,21.92
2015,February,Jubilee,19.18
2015,February,Northern,21.11
2015,February,Piccadilly,19.12
2015,February,Victoria,18.96
2015,February,Waterloo_and_City,18.49
2015,February,Sub-surface_lines,12.6
2015,March,Bakerloo,23.76
2015,March,Central,23.17
2015,March,Jubilee,20.31
2015,March,Northern,22.17
2015,March,Piccadilly,19.82
2015,March,Victoria,20.03
2015,March,Waterloo_and_City,19.41
2015,March,Sub-surface_lines,14.7
2015,April,Bakerloo,25.19
2015,April,Central,25.06
2015,April,Jubilee,21.39
2015,April,Northern,23.82
2015,April,Piccadilly,21.64
2015,April,Victoria,21.97
2015,April,Waterloo_and_City,20.86
2015,April,Sub-surface_lines,18
2015,May,Bakerloo,26.41
2015,May,Central,26.32
2015,May,Jubilee,22.53
2015,May,Northern,24.77
2015,May,Piccadilly,22.89
2015,May,Victoria,23.06
2015,May,Waterloo_and_City,21.9
2015,May,Sub-surface_lines,19.6
2015,June,Bakerloo,28.17
2015,June,Central,28.37
2015,June,Jubilee,24.39
2015,June,Northern,26.33
2015,June,Piccadilly,24.76
2015,June,Victoria,24.92
2015,June,Waterloo_and_City,23.83
2015,June,Sub-surface_lines,22.6
2015,July,Bakerloo,29.78
2015,July,Central,29.81
2015,July,Jubilee,26.03
2015,July,Northern,27.76
2015,July,Piccadilly,26.22
2015,July,Victoria,26.35
2015,July,Waterloo_and_City,25.22
2015,July,Sub-surface_lines,24.7
2015,August,Bakerloo,29.62
2015,August,Central,29.43
2015,August,Jubilee,26.17
2015,August,Northern,27.74
2015,August,Piccadilly,26.15
2015,August,Victoria,25.47
2015,August,Waterloo_and_City,25.12
2015,August,Sub-surface_lines,24.3
2015,September,Bakerloo,29.36
2015,September,Central,27.52
2015,September,Jubilee,25.34
2015,September,Northern,26.83
2015,September,Piccadilly,24.28
2015,September,Victoria,25.03
2015,September,Waterloo_and_City,23.95
2015,September,Sub-surface_lines,21.6
2015,October,Bakerloo,28.04
2015,October,Central,26.54
2015,October,Jubilee,24.52
2015,October,Northern,25.83
2015,October,Piccadilly,22.13
2015,October,Victoria,24.51
2015,October,Waterloo_and_City,23.13
2015,October,Sub-surface_lines,19.8
2015,November,Bakerloo,26.96
2015,November,Central,25.39
2015,November,Jubilee,22.12
2015,November,Northern,24.88
2015,November,Piccadilly,22.59
2015,November,Victoria,23.33
2015,November,Waterloo_and_City,21.95
2015,November,Sub-surface_lines,17.8
2015,December,Bakerloo,26.17
2015,December,Central,24.88
2015,December,Jubilee,21.33
2015,December,Northern,24.57
2015,December,Piccadilly,22.61
2015,December,Victoria,22.93
2015,December,Waterloo_and_City,21.42
2015,December,Sub-surface_lines,17
2016,January,Bakerloo,24.5
2016,January,Central,23.11
2016,January,Jubilee,20.46
2016,January,Northern,23.32
2016,January,Piccadilly,21.16
2016,January,Victoria,21
2016,January,Waterloo_and_City,19.4
2016,January,Sub-surface_lines,13.79
2016,February,Bakerloo,23.88
2016,February,Central,22.79
2016,February,Jubilee,20.42
2016,February,Northern,22.86
2016,February,Piccadilly,20.26
2016,February,Victoria,20.94
2016,February,Waterloo_and_City,19.1
2016,February,Sub-surface_lines,13.4
2016,March,Bakerloo,23.71
2016,March,Central,22.83
2016,March,Jubilee,20.63
2016,March,Northern,22.74
2016,March,Piccadilly,19.66
2016,March,Victoria,21.01
2016,March,Waterloo_and_City,19.27
2016,March,Sub-surface_lines,13.79
2016,April,Bakerloo,24.6
2016,April,Central,24.03
2016,April,Jubilee,21.94
2016,April,Northern,24.01
2016,April,Piccadilly,21.08
2016,April,Victoria,21.96
2016,April,Waterloo_and_City,20.34
2016,April,Sub-surface_lines,16.03
2016,May,Bakerloo,26.61
2016,May,Central,26.62
2016,May,Jubilee,24.21
2016,May,Northern,25.23
2016,May,Piccadilly,23.39
2016,May,Victoria,24
2016,May,Waterloo_and_City,22.55
2016,May,Sub-surface_lines,20.33
2016,June,Bakerloo,27.99
2016,June,Central,27.98
2016,June,Jubilee,24.79
2016,June,Northern,26.09
2016,June,Piccadilly,24.68
2016,June,Victoria,25.41
2016,June,Waterloo_and_City,23.81
2016,June,Sub-surface_lines,21.86
2016,July,Bakerloo,29.89
2016,July,Central,29.6
2016,July,Jubilee,25.96
2016,July,Northern,27.5
2016,July,Piccadilly,26.49
2016,July,Victoria,27.1
2016,July,Waterloo_and_City,25.3
2016,July,Sub-surface_lines,24.68
2016,August,Bakerloo,31.04
2016,August,Central,30.47
2016,August,Jubilee,26.57
2016,August,Northern,27.98
2016,August,Piccadilly,27.3
2016,August,Victoria,28.03
2016,August,Waterloo_and_City,25.95
2016,August,Sub-surface_lines,25
2016,September,Bakerloo,30.91
2016,September,Central,30.23
2016,September,Jubilee,26.22
2016,September,Northern,28.3
2016,September,Piccadilly,27.07
2016,September,Victoria,27.93
2016,September,Waterloo_and_City,26.03
2016,September,Sub-surface_lines,24.36
2016,October,Bakerloo,28.69
2016,October,Central,27.5
2016,October,Jubilee,23.58
2016,October,Northern,26.31
2016,October,Piccadilly,24.59
2016,October,Victoria,25.81
2016,October,Waterloo_and_City,23.46
2016,October,Sub-surface_lines,19.42
2016,November,Bakerloo,26.34
2016,November,Central,24.74
2016,November,Jubilee,20.52
2016,November,Northern,24.2
2016,November,Piccadilly,21.83
2016,November,Victoria,23.35
2016,November,Waterloo_and_City,21.12
2016,November,Sub-surface_lines,15.31
2016,December,Bakerloo,25.3
2016,December,Central,23.72
2016,December,Jubilee,19.52
2016,December,Northern,23.4
2016,December,Piccadilly,20.5
2016,December,Victoria,22.69
2016,December,Waterloo_and_City,20.13
2016,December,Sub-surface_lines,14.47
2017,January,Bakerloo,23.4
2017,January,Central,21.55
2017,January,Jubilee,17.5
2017,January,Northern,21.54
2017,January,Piccadilly,18.9
2017,January,Victoria,20.51
2017,January,Waterloo_and_City,18.19
2017,January,Sub-surface_lines,11.99
2017,February,Bakerloo,24.27
2017,February,Central,22.38
2017,February,Jubilee,18.58
2017,February,Northern,21.87
2017,February,Piccadilly,19.69
